Date,Country,Exchange Name,Holiday
01.04.2024,Argentina,Buenos Aires Stock Exchange,Market Holiday
01.04.2024,Australia,Sydney Stock Exchange,Easter
01.04.2024,Austria,Vienna Stock Exchange,Easter
01.04.2024,Belgium,Brussels Stock Exchange,Easter
01.04.2024,Bosnia-Herzegovina,Bosnia,Easter
01.04.2024,Botswana,Botswana Stock Exchange,Easter
01.04.2024,Cayman Islands,Cayman Islands Stock Exchange,Easter
01.04.2024,Croatia,Zagreb Stock Exchange,Easter
01.04.2024,Cyprus,Cyprus Stock Exchange,National Day
01.04.2024,Czech Republic,Prague Stock Exchange,Easter
01.04.2024,Denmark,Copenhagen Stock Exchange,Easter
01.04.2024,Estonia,Tallinn Stock Exchange,Easter
01.04.2024,Finland,Helsinki Stock Exchange,Easter
01.04.2024,France,Paris Stock Exchange,Easter
01.04.2024,Germany,Frankfurt Stock Exchange,Easter
01.04.2024,Greece,Athens Stock Exchange,Easter
01.04.2024,Hong Kong,Hong Kong Stock Exchange,Easter
01.04.2024,Hungary,Budapest Stock Exchange,Easter
01.04.2024,Iceland,Iceland Stock Exchange,Easter
01.04.2024,Ireland,Ireland Stock Exchange,Easter
01.04.2024,Italy,Milan Stock Exchange,Easter
01.04.2024,Jamaica,Jamaica Stock exchange,Easter
01.04.2024,Kenya,Kenya Stock Exchange,Easter
01.04.2024,Latvia,NASDAQ OMX Riga,Easter
01.04.2024,Lebanon,Beirut Stock Exchange,Easter
01.04.2024,Lithuania,Vilnius Stock Exchange,Easter
01.04.2024,Luxembourg,Luxembourg Stock Exchange,Easter
01.04.2024,Malta,Malta Stock Exchange,Easter
01.04.2024,Netherlands,Amsterdam Stock Exchange,Easter
01.04.2024,New Zealand,New Zealand Exchange,Easter
01.04.2024,Nigeria,Lagos,Easter
01.04.2024,Norway,Oslo Stock Exchange,Easter
01.04.2024,Poland,Warsaw Stock Exchange,Easter
01.04.2024,Portugal,Lisbon Stock Exchange,Easter
