Date,Country,Exchange Name,Holiday
01.03.2024,Bosnia-Herzegovina,Bosnia,National Day
01.03.2024,South Korea,Seoul Stock Exchange,Independence Day
01.03.2024,South Korea,KOSDAQ,Independence Day
04.03.2024,Bulgaria,Sofia Stock Exchange,Liberation Day
08.03.2024,India,India National Stock Exchange,Mahashivratri
08.03.2024,Kazakhstan,Kazakhstan Stock exchange,Women's Day
08.03.2024,Mauritius,Stock Exchange of Mauritius,Mahasivarathri Day
08.03.2024,Mongolia,Mongolia Stock exchange,Women's Day
08.03.2024,Russia,Moscow Stock Exchange,Women's Day
08.03.2024,Sri Lanka,Colombo Stock Exchange,Mahasivarathri Day
08.03.2024,Ukraine,Ukraine Stock Exchange,Labor Day
11.03.2024,Indonesia,Jakarta Stock Exchange,Hindu Saka New Year
11.03.2024,Lithuania,Vilnius Stock Exchange,Independence Day
12.03.2024,Indonesia,Jakarta Stock Exchange,Hindu Saka New Year
12.03.2024,Mauritius,Stock Exchange of Mauritius,Independence Day
15.03.2024,Hungary,Budapest Stock Exchange,National Day
17.03.2024,Bangladesh,Dhaka Stock Exchange,National Day
18.03.2024,Cyprus,Cyprus Stock Exchange,Clean Monday
18.03.2024,Greece,Athens Stock Exchange,Clean Monday
18.03.2024,Mexico,Mexico Stock Exchange,Presidents' Day
19.03.2024,Malta,Malta Stock Exchange,St. Stephen's Day
19.03.2024,Venezuela,Caracas Stock Exchange,St. Joseph
20.03.2024,Japan,Tokyo Stock Exchange,Vernal Equinox
20.03.2024,Tunisia,Tunis Stock Exchange,Independence Day
21.03.2024,Kazakhstan,Kazakhstan Stock exchange,Parsi New Year
21.03.2024,Namibia,Namibia Stock Exchange,Independence Day
21.03.2024,South Africa,Johannesburg Stock Exchange,Human Rights Day
22.03.2024,Kazakhstan,Kazakhstan Stock exchange,Parsi New Year
23.03.2024,Pakistan,Karachi Stock Exchange,Pakistan Day
24.03.2024,Israel,Tel Aviv Stock Exchange,Purim
25.03.2024,Colombia,Colombia Stock Exchange,St. Joseph
25.03.2024,Cyprus,Cyprus Stock Exchange,Independence Day
25.03.2024,Greece,Athens Stock Exchange,Independence Day
25.03.2024,India,India National Stock Exchange,Holi
25.03.2024,Kazakhstan,Kazakhstan Stock exchange,Parsi New Year
25.03.2024,Lebanon,Beirut Stock Exchange,Feast of Annunciation
26.03.2024,Bangladesh,Dhaka Stock Exchange,Independence Day
27.03.2024,Norway,Oslo Stock Exchange,Holy Wednesday - Early close at 13:00
28.03.2024,Argentina,Buenos Aires Stock Exchange,Maundy Thursday
28.03.2024,Colombia,Colombia Stock Exchange,Maundy Thursday
28.03.2024,Costa Rica,Costa Rica Stock Exchange,Maundy Thursday
28.03.2024,Denmark,Copenhagen Stock Exchange,Maundy Thursday
28.03.2024,Iceland,Iceland Stock Exchange,Maundy Thursday
28.03.2024,Malaysia,Kuala Lumpur Stock Exchange,Nuzul Al-Quran
28.03.2024,Mexico,Mexico Stock Exchange,Easter
28.03.2024,Norway,Oslo Stock Exchange,Maundy Thursday
28.03.2024,Peru,Lima Stock Exchange,Maundy Thursday
28.03.2024,Philippines,Philippines Stock Exchange,Maundy Thursday
28.03.2024,Sweden,Stockholm Stock Exchange,Maundy Thursday - Early close at 13:00
28.03.2024,Venezuela,Caracas Stock Exchange,Maundy Thursday
29.03.2024,Argentina,Buenos Aires Stock Exchange,Good Friday
29.03.2024,Australia,Sydney Stock Exchange,Good Friday
29.03.2024,Austria,Vienna Stock Exchange,Good Friday
29.03.2024,Belgium,Brussels Stock Exchange,Good Friday
29.03.2024,Bermuda,Bermuda Stock Exchange,Good Friday
29.03.2024,Botswana,Botswana Stock Exchange,Good Friday
29.03.2024,Brazil,B3 Stock Exchange,Good Friday
29.03.2024,Canada,Canadian Securities Exchange,Good Friday
29.03.2024,Canada,TSX Venture Exchange,Good Friday
29.03.2024,Canada,CBOE Canada Exchange,Good Friday
29.03.2024,Canada,Toronto Stock Exchange,Good Friday
29.03.2024,Cayman Islands,Cayman Islands Stock Exchange,Good Friday
29.03.2024,Chile,Santiago Stock Exchange,Good Friday
29.03.2024,Colombia,Colombia Stock Exchange,Good Friday
29.03.2024,Costa Rica,Costa Rica Stock Exchange,Good Friday
29.03.2024,Croatia,Zagreb Stock Exchange,Good Friday
29.03.2024,Cyprus,Cyprus Stock Exchange,Good Friday
29.03.2024,Czech Republic,Prague Stock Exchange,Good Friday
29.03.2024,Denmark,Copenhagen Stock Exchange,Good Friday
29.03.2024,Ecuador,Quito Stock Exchange,Good Friday
29.03.2024,Estonia,Tallinn Stock Exchange,Good Friday
29.03.2024,Finland,Helsinki Stock Exchange,Good Friday
29.03.2024,France,Paris Stock Exchange,Good Friday
29.03.2024,Germany,Frankfurt Stock Exchange,Good Friday
29.03.2024,Greece,Athens Stock Exchange,Good Friday
29.03.2024,Hong Kong,Hong Kong Stock Exchange,Good Friday
29.03.2024,Hungary,Budapest Stock Exchange,Good Friday
29.03.2024,Iceland,Iceland Stock Exchange,Good Friday
29.03.2024,India,India National Stock Exchange,Good Friday
29.03.2024,Indonesia,Jakarta Stock Exchange,Good Friday
29.03.2024,Ireland,Ireland Stock Exchange,Good Friday
29.03.2024,Italy,Milan Stock Exchange,Good Friday
29.03.2024,Jamaica,Jamaica Stock exchange,Good Friday
29.03.2024,Kenya,Kenya Stock Exchange,Good Friday
29.03.2024,Latvia,NASDAQ OMX Riga,Good Friday
29.03.2024,Lebanon,Beirut Stock Exchange,Good Friday
29.03.2024,Lithuania,Vilnius Stock Exchange,Good Friday
29.03.2024,Luxembourg,Luxembourg Stock Exchange,Good Friday
29.03.2024,Malta,Malta Stock Exchange,Good Friday
29.03.2024,Netherlands,Amsterdam Stock Exchange,Good Friday
29.03.2024,New Zealand,New Zealand Exchange,Good Friday
29.03.2024,Nigeria,Lagos,Good Friday
29.03.2024,Norway,Oslo Stock Exchange,Good Friday
29.03.2024,Peru,Lima Stock Exchange,Good Friday
